brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P5-E8,,,2-23,2-23-E,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P5-E8,,,2-23,2-23-F,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P5-E8,,,2-24,2-24,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E8,,,2-24,2-24-A-III,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E8,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L1,,,2-25,2-25,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-L1,,,2-25,2-25-B,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-L1,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-L1,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L1,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L1,,,3-3,3-3-D-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-1,3-1,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-1,3-1-A-I,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-3,3-3-A,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-3,3-3-C,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L2,,,3-3,3-3-D,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L3,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-L4,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-1,302-1,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-1,302-1-A,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-1,302-1-B,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-1,302-1-C-I,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-1,302-1-E,,,,,,,,,,,,12,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-3,302-3,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E1,,,302-3,302-3-A,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E10,,,304-1,304-1,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E10,,,304-1,304-1-A-I-V,,,,,,,,,,,,1,low_precision,no_esrs_datapoint,0,
P6-E11,,,303-1,303-1,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
