brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P5-L1,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,2-25-B,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-L1,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-L1,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L1,3-3-D-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P5-L2,3-1-A-I,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P5-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-L2,3-3-A,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-3-C,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L2,3-3-D,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-L3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P5-L4,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P6-E1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-E1,302-3,302-3,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E1,302-3-A,302-3,1,low_expansion,direct,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E10,304-1,304-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E10,304-1-A-I-V,304-1,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E11,303-1,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E11,303-1-A,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E11,303-1-B,303-1,5,moderate_expansion,direct,no_direct_linkage,no_direct_linkage,low_precision,expansion_5
P6-E11,413-1,413-1,1,low_expansion,direct,no_direct_linkage,no_direct_linkage,review,one_to_one_but_interop_type_uncertain
P6-E11,413-1-A-II,413-1,1,low_expansion,direct,no_direct_linkage,no_direct_linkage,review,one_to_one_but_interop_type_uncertain
P6-E12,2-27,2-27,7,high_expansion,direct,direct,direct,low_precision,expansion_7
P6-E12,2-27-B-I-II,2-27,7,high_expansion,direct,direct,direct,low_precision,expansion_7
P6-E2,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P6-E3,303-3,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E3,303-3-A-I-V,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E3,303-5,303-5,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P6-E3,303-5-A,303-5,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P6-E4,303-1-A,303-1,5,moderate_expansion,direct,can_be_covered_by,partial,low_precision,expansion_5
P6-E4,303-2-A,303-2,2,moderate_expansion,partial_requirement,can_be_covered_by,partial,review,small_expansion
P6-E5,305-7,305-7,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-E5,305-7-A-I-VII,305-7,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-E6,305-1,305-1,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-1-B,305-1,3,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-2,305-2,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-2-A,305-2,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-2-B,305-2,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-2-C,305-2,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-E6,305-4,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E6,305-4-A,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E6,305-4-B,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E6,305-4-C,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-E7,305-5,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-A,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-B,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-C,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E7,305-5-D,305-5,7,high_expansion,partial_requirement,direct,direct,low_precision,expansion_7
P6-E8,306-3,306-3,3,moderate_expansion,broader_topic; direct,direct,direct,review,small_expansion
P6-E8,306-3-A,306-3,3,moderate_expansion,broader_topic; direct,direct,direct,review,small_expansion
P6-E8,306-4-A,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-4-B-I-III,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-4-C-I-III,306-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-A,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-B-I-III,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E8,306-5-C-I-IV,306-5,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-E9,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P6-E9,3-3-C,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P6-E9,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P6-E9,306-2,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P6-E9,306-2-A,306-2,9,high_expansion,partial_requirement,direct,direct,low_precision,expansion_9
P6-L1,302-1,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-A,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-B,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-C-I,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L1,302-1-E,302-1,12,high_expansion,partial_requirement,direct,direct,low_precision,expansion_12
P6-L2,303-4,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L2,303-4-A-I-IV,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-3,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-3-B-I-IV,303-3,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-4,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L3,303-4-A-I-II,303-4,1,low_expansion,partial_requirement,direct,direct,review,one_to_one_but_interop_type_uncertain
P6-L4,305-3,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L4,305-3-A,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L4,305-3-B,305-3,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L4,305-4,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-A,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-B,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L4,305-4-C,305-4,2,moderate_expansion,direct,direct,direct,review,small_expansion
P6-L5,304-2,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-2-A-I-VI,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-2-B-I-IV,304-2,5,moderate_expansion,partial_requirement,direct,direct,low_precision,expansion_5
P6-L5,304-3,304-3,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-L5,304-3-A,304-3,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P6-L6,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P7-E2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
