brsr_id,gri_code,esrs_datapoint_id,esrs_name,esrs_data_type,interop_mapping_type,review_reason,esrs_datapoint_count,expansion_class,brsr_match_type,brsr_mapping_semantics,interop_support,precision_class,precision_reason
A23,2-25-E,S1-3_07,Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S1-3_08,Disclosure of whether and how it is assessed that its own workforce is aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S1-3_09,Policies regarding protection against retaliation for individuals that use channels to raise concerns or needs are in place,semi-narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S1-17_03,Number of complaints filed through channels for people in own workforce to raise concerns,Integer,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-1_04,Disclosure of general approach in relation to measures to provide and (or) enable remedy for human rights impacts,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-3_01,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has identified that it connected with a material negative impact on  value chain workers,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-3_02,Disclosure of specific channels in place for value chain workers to raise concerns or needs directly with undertaking and have them addressed,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-3_03,Disclosure of processes through which undertaking supports or requires availability of channels,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-3_04,Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
A23,2-25-E,S2-3_05,Disclosure of whether and how it is assessed that value chain workers are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed,narrative,direct,one BRSR-GRI requirement expands to >15 ESRS datapoints,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
